experiment,sample,type,seqtype,gene,Raw Fluorescence,Raw OD ,Fluorescence (Cells-PBS),OD-blank,Fluorescence (Cells-PBS) per OD,yHS023_norm
4,yHS023,NA,NA,CYP76AD6,840,1.106,222,1.0755,206.415620641562,-65.5689345003902
4,yHS023,NA,NA,CYP76AD6,865,0.987,247,0.9565,258.233141662311,-13.7514134796417
4,yHS023,NA,NA,CYP76AD6,878,0.899,260,0.8685,299.366724237191,27.3821690952383
4,yHS023,NA,NA,CYP76AD6,945,1.04,327,1.0095,323.922734026746,51.9381788847937
4,Uninoc,NA,NA,NA,707,0.03,89,-0.0005,-178000,-178271.984555142
4,Uninoc,NA,NA,NA,495,0.487,-123,0.4565,-269.441401971522,-541.425957113475
4,Uninoc,NA,NA,NA,529,0.031,-89,0.0005,-178000,-178271.984555142
4,Uninoc,NA,NA,NA,562,0.647,-56,0.6165,-90.8353609083536,-362.819916050306
5,ySG098,extant,NA,Montia_chamissoi@5525,17449,1.177,16680,1.143,14593.1758530184,13994.9177503678
5,ySG098,extant,NA,Montia_chamissoi@5525,11682,0.767,10913,0.733,14888.1309686221,14289.8728659716
5,ySG098,extant,NA,Montia_chamissoi@5525,15729,1.12,14960,1.086,13775.3222836096,13177.064180959
5,ySG098,extant,NA,Montia_chamissoi@5525,15903,1.107,15134,1.073,14104.3802423113,13506.1221396607
5,ySG099,extant,NA,Montia_chamissoi@34252,1937,1.215,1168,1.181,988.992379339543,390.734276689002
5,ySG099,extant,NA,Montia_chamissoi@34252,1508,0.881,739,0.847,872.491145218418,274.233042567877
5,ySG099,extant,NA,Montia_chamissoi@34252,1475,0.813,706,0.779,906.290115532734,308.032012882194
5,ySG099,extant,NA,Montia_chamissoi@34252,1878,1.173,1109,1.139,973.661106233538,375.403003582997
5,ySG100,extant,NA,Talinum_paniculatum@39504,8947,1.276,8178,1.242,6584.54106280193,5986.28296015139
5,ySG100,extant,NA,Talinum_paniculatum@39504,9181,1.375,8412,1.341,6272.93064876957,5674.67254611903
5,ySG100,extant,NA,Talinum_paniculatum@39504,8910,0.844,8141,0.81,10050.6172839506,9452.35918130008
5,ySG100,extant,NA,Talinum_paniculatum@39504,11454,1.24,10685,1.206,8859.86733001658,8261.60922736604
5,ySG101,extant,NA,Talinum_paniculatum@6206,1855,1.247,1086,1.213,895.300906842539,297.042804191998
5,ySG101,extant,NA,Talinum_paniculatum@6206,1810,1.285,1041,1.251,832.134292565947,233.876189915407
5,ySG101,extant,NA,Talinum_paniculatum@6206,1931,1.275,1162,1.241,936.341659951652,338.083557301111
5,ySG101,extant,NA,Talinum_paniculatum@6206,1691,1.259,922,1.225,752.65306122449,154.394958573949
5,ySG102,extant,NA,Tacinga_lilae@22876,20845,1.27,20076,1.236,16242.7184466019,15644.4603439514
5,ySG102,extant,NA,Tacinga_lilae@22876,12666,0.829,11897,0.795,14964.7798742138,14366.5217715633
5,ySG102,extant,NA,Tacinga_lilae@22876,19478,1.158,18709,1.124,16645.0177935943,16046.7596909438
5,ySG102,extant,NA,Tacinga_lilae@22876,13327,0.899,12558,0.865,14517.9190751445,13919.660972494
5,ySG103,extant,NA,Tacinga_lilae@80758,1195,1.295,426,1.261,337.827121332276,-260.430981318265
5,ySG103,extant,NA,Tacinga_lilae@80758,1174,1.22,405,1.186,341.483979763912,-256.774122886628
5,ySG103,extant,NA,Tacinga_lilae@80758,1206,1.097,437,1.063,411.100658513641,-187.1574441369
5,ySG103,extant,NA,Tacinga_lilae@80758,1195,1.295,426,1.261,337.827121332276,-260.430981318265
5,ySG104,extant,NA,Pterocactus_tuberosus@67194,2202,0.875,1433,0.841,1703.92390011891,1105.66579746837
5,ySG104,extant,NA,Pterocactus_tuberosus@67194,4678,1.21,3909,1.176,3323.97959183673,2725.72148918619
5,ySG105,extant,NA,Pterocactus_tuberosus@73720,1273,1.122,504,1.088,463.235294117647,-135.022808532894
5,ySG105,extant,NA,Pterocactus_tuberosus@73720,1176,1.232,407,1.198,339.732888146912,-258.525214503629
5,ySG105,extant,NA,Pterocactus_tuberosus@73720,1330,1.2,561,1.166,481.132075471698,-117.126027178842
5,ySG105,extant,NA,Pterocactus_tuberosus@73720,1327,1.291,558,1.257,443.914081145585,-154.344021504956
5,ySG106,extant,NA,Echinopsis_aurea@71662,1153,1.237,384,1.203,319.201995012469,-279.056107638072
5,ySG106,extant,NA,Echinopsis_aurea@71662,1286,1.193,517,1.159,446.074201898188,-152.183900752353
5,ySG106,extant,NA,Echinopsis_aurea@71662,1121,0.847,352,0.813,432.964329643297,-165.293773007244
5,ySG106,extant,NA,Echinopsis_aurea@71662,1066,1.138,297,1.104,269.021739130435,-329.236363520106
5,ySG107,extant,NA,Echinopsis_aurea@86484,35952,1.188,35183,1.154,30487.8682842288,29889.6101815782
5,ySG107,extant,NA,Echinopsis_aurea@86484,39249,1.303,38480,1.269,30323.0890464933,29724.8309438428
5,ySG107,extant,NA,Echinopsis_aurea@86484,35030,1.168,34261,1.134,30212.5220458554,29614.2639432048
5,ySG107,extant,NA,Echinopsis_aurea@86484,33100,1.16,32331,1.126,28713.1438721137,28114.8857694631
5,ySG108,extant,NA,Talinopsis_frutescens@1849,1404,1.206,635,1.172,541.808873720137,-56.449228930404
5,ySG108,extant,NA,Talinopsis_frutescens@1849,1591,1.242,822,1.208,680.46357615894,82.2054735083998
5,ySG108,extant,NA,Talinopsis_frutescens@1849,1529,1.171,760,1.137,668.425681618294,70.1675789677531
5,ySG108,extant,NA,Talinopsis_frutescens@1849,1569,0.855,800,0.821,974.42143727162,376.163334621079
5,ySG109,extant,NA,Talinopsis_frutescens@35327,1410,0.862,641,0.828,774.154589371981,175.89648672144
5,ySG109,extant,NA,Talinopsis_frutescens@35327,1495,0.907,726,0.873,831.615120274914,233.357017624373
5,ySG109,extant,NA,Talinopsis_frutescens@35327,1545,1.253,776,1.219,636.587366694012,38.3292640434709
5,ySG109,extant,NA,Talinopsis_frutescens@35327,1523,0.897,754,0.863,873.69640787949,275.43830522895
5,yAT001,extant,NA,CgDODAa1,14433,0.846,13664,0.812,16827.5862068966,16229.328104246
5,yAT001,extant,NA,CgDODAa1,19989,1.269,19220,1.235,15562.7530364373,14964.4949337867
5,yAT001,extant,NA,CgDODAa1,12703,0.917,11934,0.883,13515.288788222,12917.0306855714
5,yAT001,extant,NA,CgDODAa1,22771,1.238,22002,1.204,18274.0863787375,17675.828276087
5,yAT002,extant,NA,CgDODAa2,1127,1.135,358,1.101,325.158946412352,-273.099156238188
5,yAT002,extant,NA,CgDODAa2,1407,1.239,638,1.205,529.460580912863,-68.7975217376776
5,yAT002,extant,NA,CgDODAa2,1405,1.255,636,1.221,520.884520884521,-77.3735817660197
5,yAT002,extant,NA,CgDODAa2,1273,1.122,504,1.088,463.235294117647,-135.022808532894
5,yHS023,NA,NA,CYP76AD6,1206,1.097,437,1.063,411.100658513641,-187.1574441369
5,yHS023,NA,NA,CYP76AD6,1106,1.206,337,1.172,287.542662116041,-310.7154405345
5,yHS023,NA,NA,CYP76AD6,2460,1.307,1691,1.273,1328.35820895522,730.100106304683
5,yHS023,NA,NA,CYP76AD6,1172,1.135,403,1.101,366.030881017257,-232.227221633284
5,Uninoc,NA,NA,NA,821,0.033,52,-0.001,-52000,-52598.2581026505
5,Uninoc,NA,NA,NA,671,0.03,-98,-0.004,24500,23901.7418973494
5,Uninoc,NA,NA,NA,839,0.041,70,0.007,10000,9401.74189734946
5,Uninoc,NA,NA,NA,745,0.032,-24,-0.002,12000,11401.7418973494
